3,2,6
11,2,1
5,3,8
5,2,5
4,3,8
6,1,6
5,1,8
12,2,1
9,2,7
3,2,3
11,2,0
4,3,1
4,1,9
6,3,1
1,2,0
8,3,2
4,2,6
3,3,3
6,2,1
5,2,0
6,1,5
1,1,8
6,1,10
1,2,10
12,1,9
7,2,1
8,3,0
5,3,10
11,3,1
1,1,4
5,3,5
1,3,3
4,1,3
5,1,6
9,1,6
7,1,5
10,1,9
11,2,2
10,3,10
12,1,7
10,2,7
9,2,10
2,3,1
12,3,5
11,2,5
10,1,6
8,3,6
9,3,1
5,1,4
11,2,1
10,2,4
7,2,1
1,3,9
4,1,1
8,2,2
7,3,10
1,1,6
10,2,0
6,3,5
2,2,0
8,1,2
1,2,7
12,1,6
8,2,3
6,2,6
3,2,7
2,3,2
12,3,8
4,1,7
9,1,7
12,3,4
12,3,0
11,3,9
6,2,3
5,1,0
6,1,2
3,2,3
4,1,8
6,1,4
10,2,4
12,3,6
12,3,7
2,2,6
9,2,2
2,3,3
12,2,5
8,1,10
12,1,4
3,1,4
12,1,2
1,1,9
12,2,8
1,1,2
9,3,1
2,2,0
7,3,1
6,2,9
4,1,4
1,2,8
6,1,2
